mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgather

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
512                     7.06              5.35              4.37             60.75
1024                    7.61              5.76              5.15             64.16
2048                    8.25              6.32              5.34             63.74
4096                    9.04              6.49              5.65             54.81
8192                   11.17              8.19              7.26             58.95
16384                  16.98             11.44             10.40             46.69
32768                  24.16             15.41             14.38             39.18
65536                  39.84             24.24             22.79             31.56
131072                 80.56             44.97             42.36             15.98
262144                163.55             81.06             76.24              0.00
524288                291.19            146.34            140.75              0.00
1048576               554.38            281.44            268.83              0.00
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_iallreduce

# OSU MPI Non-blocking Allreduce Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
4                       6.67              4.58              3.76             44.49
8                       6.14              4.01              3.31             35.57
16                      6.02              4.16              3.36             44.59
32                      6.00              4.02              3.62             45.11
64                      6.57              4.58              3.92             49.16
128                     7.95              5.72              5.11             56.37
256                     8.28              5.86              5.16             53.07
512                     9.86              6.88              5.48             45.49
1024                    8.63              6.43              5.66             61.16
2048                   10.64              7.98              7.28             63.52
4096                   12.09              9.11              8.12             63.31
8192                   15.48             11.93             10.56             66.44
16384                  32.90             20.42             18.94             34.09
32768                  46.79             26.78             25.10             20.25
65536                  72.73             41.30             39.37             20.15
131072                127.62             71.82             68.73             18.81
262144                270.84            138.40            133.20              0.57
524288                492.95            251.79            242.56              0.58
1048576               942.37            479.75            461.48              0.00
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ialltoall

# OSU MPI Non-blocking All-to-All Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       5.99              4.32              3.60             53.79
2                       5.03              3.47              2.96             47.41
4                       5.18              3.47              2.93             41.85
8                       5.34              3.62              2.96             41.82
16                      5.74              4.20              3.08             49.85
32                      5.87              4.02              2.99             38.23
64                      5.60              4.03              3.10             49.33
128                     6.60              4.74              3.94             53.01
256                     6.79              4.62              4.07             46.60
512                     7.09              5.16              4.24             54.39
1024                    7.74              5.74              4.66             57.24
2048                    8.48              6.31              5.37             59.56
4096                    9.74              7.17              6.04             57.42
8192                   11.47              8.17              7.44             55.69
16384                  18.85             13.14             12.05             52.61
32768                  26.23             17.43             14.46             39.14
65536                  41.78             25.90             23.13             31.29
131072                 77.68             46.12             42.77             26.21
262144                163.02             84.42             81.08              3.06
524288                296.50            149.80            142.82              0.00
1048576               565.93            290.99            280.58              2.01
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ialltoallv

# OSU MPI Non-blocking All-to-Allv Personalized Exchange Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       6.39              4.33              3.22             35.99
2                       5.08              3.47              2.86             43.68
4                       5.53              3.61              2.84             32.19
8                       5.24              3.47              2.86             38.29
16                      6.10              4.47              3.26             50.18
32                      6.83              4.75              3.59             41.98
64                      5.66              4.03              3.02             46.11
128                     6.44              4.60              4.02             54.18
256                     6.77              4.91              3.95             52.80
512                     7.24              5.17              4.28             51.61
1024                    8.62              6.20              4.60             47.26
2048                    8.05              5.89              5.12             57.74
4096                    9.42              6.87              6.27             59.31
8192                   11.91              8.59              7.83             57.67
