mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgather

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_multi_lat
# OSU MPI Multi Latency Test v5.6.3
# Size          Latency (us)
0                      25.27
1                      25.09
2                      25.10
4                      24.67
8                      24.91
16                     24.70
32                     24.79
64                     24.61
128                    24.89
256                    26.41
512                    51.98
1024                   47.09
2048                  135.20
4096                  188.87
8192                  222.43
16384                 476.96
32768                 503.73
65536                1116.13
131072               1840.34
262144               2903.74
524288               4909.78
1048576              9180.01
2097152             17549.65
4194304             34502.72
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/startup/osu_hello
# OSU MPI Hello World Test v5.6.3
This is a test with 2 processes
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/startup/osu_init
# OSU MPI Init Test v5.6.3
nprocs: 2, min: 211 ms, max: 212 ms, avg: 211 ms
Successfully processed 34 benchmarks.
