mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgather

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
65536                2515.17           1579.52           1525.16             38.65
131072               3878.18           2264.66           2187.00             26.22
262144               8531.54           4257.21           4112.84              0.00
524288              16456.78           7503.54           7249.04              0.00
1048576             26734.43          11765.43          11363.62              0.00
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_iallgatherv

# OSU MPI Non-blocking Allgatherv Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      69.21             54.64             51.84             71.90
2                      67.80             53.20             50.82             71.27
4                      67.87             53.21             50.84             71.16
8                      68.72             53.99             51.11             71.18
16                     68.16             53.67             51.09             71.64
32                     65.55             53.33             50.81             75.95
64                     64.25             53.04             50.40             77.76
128                    63.62             52.39             50.19             77.64
256                    63.88             52.65             50.40             77.72
512                    64.37             52.89             50.51             77.26
1024                   64.56             52.72             50.42             76.52
2048                   78.37             64.94             62.08             78.37
4096                  138.86            125.37            120.60             88.81
8192                  564.70            411.12            396.50             61.27
16384                 554.22            475.53            458.20             82.83
32768                 621.64            590.25            569.52             94.49
65536                2453.46           1374.60           1324.89             18.57
131072               4385.46           2218.84           2143.24              0.00
262144               7157.54           3634.26           3502.43              0.00
524288              12505.06           6290.39           6077.09              0.00
1048576             20966.88          10619.79          10258.47              0.00
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_iallreduce

# OSU MPI Non-blocking Allreduce Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
4                     102.78             66.96             63.60             43.68
8                      98.10             62.47             59.63             40.25
16                    100.29             63.29             59.61             37.93
32                    100.04             65.75             62.67             45.28
64                     95.98             67.41             64.23             55.52
128                    89.37             61.21             58.68             52.01
256                   100.69             86.62             82.72             83.00
512                   102.98             88.71             84.72             83.16
1024                  140.86            119.14            114.04             80.95
2048                  326.34            239.75            231.05             62.53
4096                  520.06            453.75            437.74             84.85
8192                  791.74            756.67            730.46             95.20
