mesh,trial,cpu,gpu_k20,cpu_p100,gpu_p100,cpu_v100,gpu_v100
64,0,5.825811862945557,4.867021083831787,4.818016529083252,8.042825937271118,3.3090012073516846,13.45584225654602
128,0,11.015707731246948,13.890835762023926,10.048364877700806,11.760674715042114,9.056722640991211,10.924078941345215
256,0,48.85942006111145,54.16848134994507,39.888216972351074,41.85489463806152,41.516093730926514,39.92904615402222
384,0,115.27788829803467,132.6013662815094,103.30467867851257,117.81526732444763,98.15546607971191,108.12308096885681
512,0,218.66958451271057,239.13372993469238,188.12597370147705,190.27259922027588,176.50781154632568,191.53721141815186
768,0,603.2394173145294,667.5709276199341,514.7024438381195,519.8440115451813,490.3167715072632,518.0831689834595
64,1,3.942073106765747,4.655940771102905,3.3959693908691406,3.344130754470825,3.3090012073516846,13.45584225654602    
128,1,11.043038129806519,13.269996881484985,12.030850410461426,10.136759281158447,9.056722640991211,10.924078941345215
256,1,44.719796657562256,52.834917306900024,39.3421835899353,41.86195397377014,41.516093730926514,39.92904615402222
384,1,114.98839926719666,132.8627326488495,103.372713804245,109.37731409072876,98.15546607971191,108.12308096885681
512,1,222.99228382110596,254.8198127746582,185.61456322669983,197.4372992515564,176.50781154632568,191.53721141815186
768,0,602.6581928730011,667.4198830127716,513.9191274642944,515.8762063980103,490.3167715072632,518.0831689834595
