mesh,solver,ntasks,ntasks_per_node,threads,runtime
512,mumps,16,1,1,87.14591670036316
512,superlu_dist,16,1,1,113.01978588104248
512,mumps,1,1,1,196.60364961624146
512,superlu_dist,1,1,1,232.3693015575409
512,mumps,2,1,1,1370.7795314788818
512,superlu_dist,2,1,1,1406.404316663742
512,mumps,32,1,1,77.32620167732239
512,superlu_dist,32,1,1,123.00142502784729
512,mumps,4,1,1,410.355162858963
512,superlu_dist,4,1,1,450.4165470600128
512,mumps,64,1,1,75.22818207740784
512,superlu_dist,64,1,1,129.80105566978455
512,mumps,8,1,1,157.29105234146118
512,superlu_dist,8,1,1,184.9759132862091
512,mumps,96,1,1,70.82230114936829
512,superlu_dist,96,1,1,135.17019653320312
512,mumps,16,2,1,85.2352888584137
512,superlu_dist,16,2,1,112.97916626930237
512,mumps,1,2,1,194.94880557060242
512,superlu_dist,1,2,1,229.56736493110657
512,mumps,2,2,1,1375.9122986793518
512,superlu_dist,2,2,1,1399.4962975978851
512,mumps,32,2,1,71.54138517379761
512,superlu_dist,32,2,1,114.82834339141846
512,mumps,4,2,1,414.9925625324249
512,superlu_dist,4,2,1,446.9517230987549
512,mumps,64,2,1,63.47475624084473
512,superlu_dist,64,2,1,116.23764729499817
512,mumps,8,2,1,154.53387022018433
512,superlu_dist,8,2,1,180.04947447776794
512,mumps,96,2,1,71.83337616920471
512,superlu_dist,96,2,1,146.7712860107422
512,mumps,16,4,1,81.45711517333984
512,superlu_dist,16,4,1,110.4824526309967
512,mumps,1,4,1,197.1064636707306
512,superlu_dist,1,4,1,234.66343808174133
512,mumps,2,4,1,1373.6428318023682
512,superlu_dist,2,4,1,1399.191427230835
512,mumps,32,4,1,69.61370873451233
512,superlu_dist,32,4,1,102.09406447410583
512,mumps,4,4,1,408.49846363067627
512,superlu_dist,4,4,1,429.11634135246277
512,mumps,64,4,1,64.55012226104736
512,superlu_dist,64,4,1,136.68257546424866
512,mumps,8,4,1,152.2900915145874
512,superlu_dist,8,4,1,179.62929725646973
512,mumps,96,4,1,65.75568628311157
512,superlu_dist,96,4,1,168.916198015213
512,mumps,16,8,1,84.3458297252655
512,superlu_dist,16,8,1,110.23079514503479
512,mumps,1,8,1,195.67694926261902
512,superlu_dist,1,8,1,230.4266426563263
512,mumps,2,8,1,1376.0774493217468
512,superlu_dist,2,8,1,1428.2101984024048
512,mumps,32,8,1,67.70327377319336
512,superlu_dist,32,8,1,99.60004615783691
512,mumps,4,8,1,405.8335542678833
512,superlu_dist,4,8,1,426.89778661727905
512,mumps,64,8,1,89.63890480995178
512,superlu_dist,64,8,1,138.49568462371826
512,mumps,8,8,1,152.25725960731506
512,superlu_dist,8,8,1,172.49550342559814
512,mumps,96,8,1,69.55905437469482
512,superlu_dist,96,8,1,258.65005826950073
