nproc,nthread,time
1,1,84.95252013206482
1,2,85.69271945953369
2,1,57.69637489318848
2,2,59.3656165599823
4,1,46.69931626319885
4,2,42.44321632385254
8,1,37.65806031227112
8,2,35.2984459400177
16,1,35.87552332878113
16,2,37.57992243766785
