nproc,nthread,time
1,1,158.1201672554016
1,2,159.1162130832672
2,1,102.76130604743958
2,2,107.77219772338867
4,1,77.12831830978394
4,2,68.56388473510742
8,1,57.00485157966614
8,2,54.32032513618469
