nproc,nthread,time
1,1,31.273425579071045
1,2,31.76813316345215
2,1,20.375652313232422
2,2,21.18870210647583
4,1,15.595232009887695
4,2,14.698223352432251
8,1,12.30159306526184
8,2,11.845840692520142
16,1,11.590835571289062
16,2,12.36542010307312
