nproc,nthread,time
1,1,66.48036527633667
1,2,75.31701326370239
2,1,40.86704730987549
2,2,45.898330211639404
4,1,30.18951940536499
4,2,26.65715479850769
8,1,20.95621967315674
8,2,20.660829305648804
16,1,17.694604635238647
16,2,18.46594476699829
